source,path,shape,dtype,size,min,max,mean,sum,sha256
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_PROFILE/BEAM_PROFILE_TRUNK/BEAM_PROFILE_Y/SHOW_CALIPER,[1],uint8,1,0.0,0.0,0.0,0.0,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_PROFILE/BEAM_PROFILE_TRUNK/BEAM_PROFILE_Y/SHOW_GAUSS_FIT,[1],uint8,1,1.0,1.0,1.0,1.0,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_PROFILE/BEAM_PROFILE_TRUNK/BEAM_PROFILE_Y/SHOW_TOPHAT,[1],uint8,1,0.0,0.0,0.0,0.0,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d
DataBase\data\120\120.binary.bgData,BG_SETUP/BEAM_PROFILE/BEAM_PROFILE_TRUNK/BEAM_PROFILE_Y/ZOOM_V2,[1],float64,1,0.0,0.0,0.0,0.0,af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
DataBase\data\120\120.binary.bgData,BG_SETUP/BG_LAYOUT,[1],|S1578,1,,,,,d84ab0b180f29f4499a4cdefd7b2155012eb08beaadb3e22d31b33d3503fde45
DataBase\data\120\120.binary.bgData,BG_SETUP/Beam Display/RIBBON_VISIBILITY_BEAMDISPLAY_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Beam Display/RIBBON_VISIBILITY_COLORBAR_RIBBONBAR_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Beam Display/RIBBON_VISIBILITY_CROSSHAIR_RIBBONBAR_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Beam Display/RIBBON_VISIBILITY_CURSOR_RIBBONBAR_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Beam Display/RIBBON_VISIBILITY_PANZOOM2D_RIBBONBAR_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Beam Display/RIBBON_VISIBILITY_PANZOOMROTATETILE3D_RIBBONBAR_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Beam Display/RIBBON_VISIBILITY_PROPERTIES_RIBBONBAR_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Beam Profile/RIBBON_VISIBILITY_BEAMPROFILE_CONTROLBEAM_PROFILE_X,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Beam Profile/RIBBON_VISIBILITY_BEAMPROFILE_CONTROLBEAM_PROFILE_Y,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Beam Profile/RIBBON_VISIBILITY_BEAMPROFILE_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/CHARTS/CHART_ENGINE/CHARTS_MASTER/ENABLE_SAMPLE_SIZE,[1],uint8,1,1.0,1.0,1.0,1.0,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a
DataBase\data\120\120.binary.bgData,BG_SETUP/CHARTS/CHART_ENGINE/CHARTS_MASTER/RESET_CHARTS_ON_START,[1],uint8,1,1.0,1.0,1.0,1.0,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a
