z_mm,baseline_d4x_um,baseline_d4y_um,baseline_ellipticity,robust_d4x_um,robust_d4y_um,robust_ellipticity,point_d4x_um,point_d4y_um,point_ellipticity
216.0,1163.1017814414768,983.6894844060645,1.1823871250832152,,983.6894844060645,,,983.6894844060645,
216.5,1150.5187849636293,965.2781608226298,1.191903879792674,,965.2781608226298,,,965.2781608226298,
217.0,1138.1389484454469,947.0055949917625,1.2018291702440755,,947.0055949917625,,,947.0055949917625,
217.5,1125.9689730340276,928.8799757152802,1.2121791861935443,,928.8799757152802,,,928.8799757152802,
218.0,1114.015736583003,910.9100750230349,1.2229700462527346,,910.9100750230349,,,910.9100750230349,
218.5,1102.2862900926928,893.1052924636916,1.2342176218124978,,893.1052924636916,,,893.1052924636916,
219.0,1090.787852953326,875.4757022495687,1.2459373231610018,,875.4757022495687,,,875.4757022495687,
219.5,1079.5278068800328,858.0321032377684,1.2581438419453705,1078.1040167690549,858.0321032377684,1.2564844749990696,,858.0321032377684,
220.0,1068.5136884272347,840.7860716605713,1.2708508435646373,1056.2817635526874,840.7860716605713,1.2563026424385304,,840.7860716605713,
220.5,1057.7531799706428,823.7500164277608,1.2840706025811692,1034.7221160412996,823.7500164277608,1.2561118001896152,,823.7500164277608,
221.0,1047.2540990476539,806.937236707782,1.2978135738540697,1013.441834150633,806.937236707782,1.2559115976421757,,806.937236707782,
221.5,1037.0243859517927,790.361981348407,1.3120878919081662,992.4588884980668,790.361981348407,1.2557017062041242,,790.361981348407,
222.0,1027.0720894843485,774.0395095154396,1.3268987911577164,971.792539527672,774.0395095154396,1.2554818295206,,774.0395095154396,
222.5,1017.4053507768036,757.9861517042108,1.3422479401362812,951.4634174654697,757.9861517042108,1.2552517157816883,,757.9861517042108,
223.0,1008.0323851113462,742.2193700075126,1.3581326840084262,931.4936017166752,742.2193700075126,1.2550111723805415,992.7644345704933,742.2193700075126,1.3375620129133046
223.5,998.9614616839536,726.7578162000552,1.3745451915565896,911.9066978993751,726.7578162000552,1.2547600831696508,963.7256727011305,726.7578162000552,1.3260616552293742
224.0,990.200881275454,711.6213858196867,1.3914715057851772,892.7279102162007,711.6213858196867,1.2544984285258727,935.0328325737951,711.6213858196867,1.3139470668054336
224.5,981.7589518207121,696.8312659880607,1.408890501531447,873.9841062941778,696.8312659880607,1.2542263083659513,906.7187545492017,696.8312659880607,1.3012027427666213
225.0,973.6439618946928,682.4099742205191,1.4267727593032837,855.7038709748164,682.4099742205191,1.2539439681435516,878.8200485902042,682.4099742205191,1.2878182936790072
225.5,965.8641521665238,668.3813849347611,1.4450793722521151,837.9175448206954,668.3813849347611,1.2536518276948756,851.3775495333873,668.3813849347611,1.2737900377289653
226.0,958.4276849085666,654.7707397963833,1.463760712958268,820.6572423405547,654.7707397963833,1.2533505125714046,824.436815036431,654.7707397963833,1.2591228729811743
226.5,951.3426116865072,641.6046374631582,1.4827551986656808,803.9568441553755,641.6046374631582,1.2530408871951768,798.048662813181,641.6046374631582,1.243832441686499
227.0,944.6168393980108,628.9109977488804,1.501988107664146,787.8519565839399,628.9109977488804,1.2527240887883526,772.2697394958258,628.9109977488804,1.2279475828218662
227.5,938.2580948707788,616.7189947774332,1.521370515285305,772.3798314900633,616.7189947774332,1.2524015605661802,747.1631073310217,616.7189947774332,1.211513045095464
